# l species scattering_weight beta_l
64 organic_carbon   2.729556486e-01 2.510782278e-04
65 organic_carbon   2.729556486e-01 2.247506048e-04
66 organic_carbon   2.729556486e-01 2.048952929e-04
67 organic_carbon   2.729556486e-01 1.839655495e-04
68 organic_carbon   2.729556486e-01 1.679500526e-04
69 organic_carbon   2.729556486e-01 1.512028824e-04
70 organic_carbon   2.729556486e-01 1.381925874e-04
71 organic_carbon   2.729556486e-01 1.246580224e-04
72 organic_carbon   2.729556486e-01 1.140626440e-04
73 organic_carbon   2.729556486e-01 1.030936042e-04
74 organic_carbon   2.729556486e-01 9.444625386e-05
75 organic_carbon   2.729556486e-01 8.551163153e-05
76 organic_carbon   2.729556486e-01 7.838323617e-05
77 organic_carbon   2.729556486e-01 7.103590679e-05
78 organic_carbon   2.729556486e-01 6.514667270e-05
79 organic_carbon   2.729556486e-01 5.912369647e-05
80 organic_carbon   2.729556486e-01 5.426893597e-05
81 organic_carbon   2.729556486e-01 4.935445247e-05
82 organic_carbon   2.729556486e-01 4.534759994e-05
83 organic_carbon   2.729556486e-01 4.131555440e-05
84 organic_carbon   2.729556486e-01 3.800276105e-05
85 organic_carbon   2.729556486e-01 3.467574993e-05
86 organic_carbon   2.729556486e-01 3.192785926e-05
87 organic_carbon   2.729556486e-01 2.916567984e-05
88 organic_carbon   2.729556486e-01 2.686824472e-05
89 organic_carbon   2.729556486e-01 2.456481327e-05
90 organic_carbon   2.729556486e-01 2.264172907e-05
91 organic_carbon   2.729556486e-01 2.072697378e-05
92 organic_carbon   2.729556486e-01 1.911457297e-05
93 organic_carbon   2.729556486e-01 1.752176396e-05
94 organic_carbon   2.729556486e-01 1.616998447e-05
95 organic_carbon   2.729556486e-01 1.483806750e-05
96 organic_carbon   2.729556486e-01 1.369948414e-05
97 organic_carbon   2.729556486e-01 1.257753682e-05
98 organic_carbon   2.729556486e-01 1.161531851e-05
99 organic_carbon   2.729556486e-01 1.067177329e-05
100 organic_carbon   2.729556486e-01 9.858915868e-06
101 organic_carbon   2.729556486e-01 9.064585663e-06
102 organic_carbon   2.729556486e-01 8.376958797e-06
103 organic_carbon   2.729556486e-01 7.707206276e-06
104 organic_carbon   2.729556486e-01 7.124846668e-06
105 organic_carbon   2.729556486e-01 6.556981583e-06
106 organic_carbon   2.729556486e-01 6.061015803e-06
107 organic_carbon   2.729556486e-01 5.578827381e-06
108 organic_carbon   2.729556486e-01 5.156963179e-06
109 organic_carbon   2.729556486e-01 4.748218695e-06
110 organic_carbon   2.729556486e-01 4.389015088e-06
111 organic_carbon   2.729556486e-01 4.041591746e-06
112 organic_carbon   2.729556486e-01 3.735196314e-06
113 organic_carbon   2.729556486e-01 3.439113927e-06
114 organic_carbon   2.729556486e-01 3.177127319e-06
115 organic_carbon   2.729556486e-01 2.924415967e-06
116 organic_carbon   2.729556486e-01 2.700213829e-06
117 organic_carbon   2.729556486e-01 2.484635946e-06
118 organic_carbon   2.729556486e-01 2.292845106e-06
119 organic_carbon   2.729556486e-01 2.108766023e-06
